hsid,hsname.1,nickname,city
77,Columbus,Explorers,"Miami,FL"
2032,Jesuit,Marauders,"Carmichael,CA"
93,St. Francis,Lancers,"Mountain View,CA"
1801,Round Rock,Dragons,"Round Rock,TX"
1103,Seton Hall Prep,Pirates,"West Orange,NJ"
10274,Blessed Trinity Catholic,Titans,"Roswell,GA"
5218,Homewood-Flossmoor,Vikings,"Flossmoor,IL"
10675,St Mary's Prep,Eagles,"Orchard Lake,MI"
496,Regis Jesuit,Raiders,"Aurora,CO"
9112,Sandra Day O'Connor,Eagles,"Glendale,AZ"
2749,Bergen Catholic,Crusaders,"Oradell,NJ"
108,St. Thomas Aquinas,Raiders,"Fort Lauderdale,FL"
536,South Hills,Huskies,"West Covina,CA"
7737,St. John's Prep,Eagles,"Danvers,MA"
1293,Eastlake,Titans,"Chula Vista,CA"
97,Santa Margarita Catholic,Eagles,"Rancho Santa Margarita,CA"
1189,Iona Prep,Gaels,"New Rochelle,NY"
140,Buchanan,Bears,"Clovis,CA"
2879,Malvern Preparatory School,Friars,"Malvern,PA"
5802,Lincoln-Way East,Griffins,"Frankfort,IL"
9655,Basha,Bears,"Chandler,AZ"
7042,Rancho Cucamonga,Cougars,"Rancho Cucamonga,CA"
9042,Pennsbury,Falcons,"Fairless Hills,PA"
797,Los Alamitos,Griffins,"Los Alamitos,CA"
2520,Gloucester Catholic,Rams,"Gloucester,NJ"
8143,Valencia,Vikings,"Valencia,CA"
11117,Lee's Summit West,Titans,"Lee's Summit,MO"
2594,Millard West,Wildcats,"Omaha,NE"
9021,Pinnacle,Pioneers,"Phoenix,AZ"
1556,Lincoln-Way Central,Knights,"New Lenox,IL"
13562,Perry,Pumas,"Gilbert,AZ"
78,Heritage,Patriots,"Brentwood,CA"
16376,Winchendon School,Wapiti,"Winchendon,MA"
1632,Edison,Chargers,"Huntington Beach,CA"
1787,Southington,Blue Knights,"Southington,CT"
2542,Owasso,Rams,"Owasso,OK"
1981,Pope,Greyhounds,"Marietta,GA"
5623,Lake Travis,Cavaliers,"Austin,TX"
2275,Norco,Cougars,"Norco,CA"
485,Chaminade Prep,Eagles,"West Hills,CA"
641,Lockport Township,Porters,"Lockport,IL"
1094,La Costa Canyon,Mavericks,"Carlsbad,CA"
23,Chandler,Wolves,"Chandler,AZ"
4308,Downers Grove South,Mustangs,"Downers Grove,IL"
9211,Hebron,Hawks,"Carrollton,TX"
2932,Carmel,Greyhounds,"Carmel,IN"
7821,St. Peters Boys,Golden Eagles,"Staten Island,NY"
2816,Monsignor Farrell,Lions,"Staten Island,NY"
2645,North Cobb,Warriors,"Kennesaw,GA"
262,Lake Brantley,Patriots,"Altamonte Springs,FL"
558,St. Ignatius,Wildcats,"Cleveland,OH"
1894,Cypress,Centurions,"Cypress,CA"
2097,Pearland,Oilers,"Pearland,TX"
1656,Simi Valley,Pioneers,"Simi Valley,CA"
1059,The Woodlands,Higlanders,"The Woodlands,TX"
1412,Mission Viejo,Diablos,"Mission Viejo,CA"
2738,Dana Hills,Dolphins,"Dana Point,CA"
6370,Mountain Ridge,Mountain Lions,"Glendale,AZ"
25,Bishop Hendricken,Hawks,"Warwick,RI"
716,Brother Rice,Crusaders,"Chicago,IL"
3032,American Heritage,Stallions,"Delray Beach,FL"
20,Foothill,Falcons,"Pleasanton,CA"
4468,Edwardsville,Tigers,"Edwardsville,IL"
5479,Kellenberg Memorial,Firebirds,"Uniondale,NY"
1454,Reagan,Rattlers,"San Antonio,TX"
2290,Oak Ridge,War Eagles,"Conroe,TX"
10523,St. Augustine Prep,Hermits,"Richland,NJ"
14124,Blue Valley Southwest,Timberwolves,"Leawood,KS"
1472,Millikan,Rams,"Long Beach,CA"
265,Westminster Christian,Warriors,"Miami,FL"
2566,Catholic,Bears,"Baton Rouge,LA"
169,San Ramon Valley,Wolves,"Danville,CA"
3410,Boston College,Eagles,"Dorchester,MA"
3998,Collierville,Dragons,"Collierville,TN"
12444,DeSoto Central,Jaguars,"Southaven,MS"
13779,Legend,Titans,"Parker,CO"
7498,Souderton Area,Indians,"Souderton,PA"
6670,O'Dea,Fighting Irish,"Seattle,WA"
6177,Miami Christian,Victors,"Miami,FL"
1514,Elk Grove,Herd,"Elk Grove,CA"
196,Bishop Amat,Lancers,"La Puente,CA"
1668,Thousand Oaks,Lancers,"Thousand Oaks,CA"
1594,Chaparral,Firebirds,"Scottsdale,AZ"
7761,St. Joseph Regional,Green Knights,"Montvale,NJ"
1284,Christian Brothers College,Cadets,"St. Louis,MO"
3498,Brophy College Prep,Broncos,"Phoenix,AZ"
5973,Maranatha,Minutemen,"Pasadena,CA"
7767,St. Laurence,Vikings,"Burbank,IL"
173,Lyons Township,Lions,"La Grange,IL"
12579,Great Oak,Wolfpack,"Temecula,CA"
9481,West Ranch,Wildcats,"Valencia,CA"
2617,Massapequa,Chiefs,"Massapequa,NY"
971,Gahr,Gladiators,"Cerritos,CA"
735,Glendora,Tartans,"Glendora,CA"
14,Redan,Raiders,"Stone Mountain,GA"
2443,El Toro,Chargers,"Lake Forest,CA"
9495,Los Osos,Grizzlies,"Rancho Cucamonga,CA"
7660,Spruce Creek,Hawks,"Port Orange,FL"
1917,Murrieta Valley,Nighthawks,"Murrieta,CA"
1803,Providence Catholic,Celtics,"New Lenox,IL"
717,Brother Rice,Warriors,"Bloomfield Hills,MI"
7957,Temecula Valley,Golden Bears,"Temecula,CA"
64,Reno,Huskies,"Reno,NV"
1728,Santiago,Sharks,"Corona,CA"
524,Lakeland Christian,Vikings,"Lakeland,FL"
3048,Andrean,Fighting 59ers,"Merrillville,IN"
5031,Hanover,Hawks,"Mechanicsville,VA"
5425,Johnston,Dragons,"Johnston,IA"
10919,Faith Lutheran,Crusaders,"Las Vegas,NV"
90,Liberty,Bluejays,"Liberty,MO"
9530,Norwin,Knights,"North Huntington,PA"
14398,Ridge Point,Panthers,"Missouri City,TX"
10200,Spring-Ford,Rams,"Royersford,PA"
2313,Taunton,Tigers,"Taunton,MA"
449,Cherry Creek,Bruins,"Greenwood Village,CO"
177,Newbury Park,Panthers,"Newbury Park,CA"
3085,Archbishop Mitty,Monarchs,"San Jose,CA"
42,Bonita,Bearcats,"La Verne,CA"
21,Farragut,Admirals,"Knoxville,TN"
2482,Jesuit College Prep,Rangers,"Dallas,TX"
711,Palm Beach Gardens,Gators,"Palm Beach Gardens,FL"
1546,Mira Costa,Mustangs,"Manhattan Beach,CA"
1945,James Madison,Warhawks,"Vienna,VA"
565,Los Gatos,Wildcats,"Los Gatos,CA"
2400,Cartersville,Purple Hurricanes,"Cartersville,GA"
4541,Etiwanda,Eagles,"Rancho Cucamonga,CA"
660,Clovis West,Golden Eagles,"Fresno,CA"
2291,Oak Ridge,Trojans,"El Dorado Hills,CA"
488,Desert Mountain,Wolves,"Scottsdale,AZ"
4707,Francis Howell,Vikings,"St. Charles,MO"
225,Commack,Cougars,"Commack,NY"
9610,Atascocita,Eagles,"Humble,TX"
1439,Trumbull,Eagles,"Trumbull,CT"
9269,Tahoma,Bears,"Maple Valley,WA"
2297,Broomfield,Eagles,"Broomfield,CO"
12720,Deer Creek,Antlers,"Edmond,OK"
2197,Punahou,Buff n' Blue,"Honolulu,HI"
11211,St. Peter's Prep,Marauders,"Jersey City,NJ"
6076,Monsignor McClancy,Crusaders,"Flushing,NY"
10319,Olathe South,Falcons,"Olathe,KS"
4773,Fuquay-Varina,Bengals,"Fuquay-Varina,NC"
5852,Longwood,Lions,"Middle Island,NY"
14074,Elkhorn South,Storm,"Elkhorn,NE"
15474,Chanhassen,Storm,"Chanhassen,MN"
258,Bellarmine Prep,Bells,"San Jose,CA"
2039,Hart,Indians,"Newhall,CA"
2085,Elder,Panthers,"Cincinnati,OH"
1553,Lafayette,Lancers,"Wildwood,MO"
7733,Saint John's,Pioneers,"Shrewsbury,MA"
561,Point Loma,Pointers,"San Diego,CA"
2042,Venice,Indians,"Venice,FL"
647,Bishop Eustace Preparatory School,Crusaders,"Pennsauken,NJ"
2,St. Augustine,Saints,"San Diego,CA"
1224,St. Rita of Cascia,Mustangs,"Chicago,IL"
10419,North Allegheny,Tigers,"Wexford,PA"
3665,Casa Grande,Gauchos,"Petaluma,CA"
1267,Glenwood,Titans,"Chatham,IL"
7301,San Dimas,Saints,"San Dimas,CA"
7419,Shenendehowa,Plainsmen,"Clifton Park,NY"
8794,Park Vista Community,Cobras,"Lake Worth,FL"
2718,Granada,Matadors,"Livermore,CA"
2163,Bishop Moore,Hornets,"Orlando,FL"
4918,Granite Bay,Grizzlies,"Granite Bay,CA"
8183,Andrew,Thunderbolts,"Tinley Park,IL"
6422,Neuqua Valley,Wildcats,"Naperville,IL"
2595,Millard South,Patriots,"Omaha,NE"
3164,Ayala,Bulldogs,"Chino Hills,CA"
242,Neshaminy,Redskins,"Langhorne,PA"
309,Loganville,Red Devils,"Loganville,GA"
4712,Frank W. Cox,Falcons,"Virginia Beach,VA"
5099,Hazleton Area,Cougars,"Hazleton,PA"
5269,Hunterdon Central Regional,Red Devils,"Flemington,NJ"
7479,Smithson Valley,Rangers,"Spring Branch,TX"
6524,North Broward Prep,Eagles,"Coconut Creek,FL"
2606,Red Mountain,Lions,"Mesa,AZ"
5337,Jackson Memorial,Jaguars,"Jackson,NJ"
8789,Mountain Vista,Golden Eagles,"Highlands Ranch,CO"
153,Palo Verde,Panthers,"Las Vegas,NV"
10773,Prosper,Eagles,"Prosper,TX"
1450,Corona del Sol,Aztecs,"Tempe,AZ"
838,Bishop O'Connell,Knights,"Arlington,VA"
950,North Rockland,Red Raiders,"Thiells,NY"
3726,Center Grove,Trojans,"Greenwood,IN"
1595,Chaparral,Wolverines,"Parker,CO"
9852,Paloma Valley,Wildcats,"Menifee,CA"
14095,Staley,Falcons,"Kansas City,MO"
16240,V.R. Eaton,Eagles,"Haslet,TX"
689,Farmington,Tigers,"Farmington,MN"
89,El Camino Real,Conquistadors,"Woodland Hills,CA"
18,Crespi Carmelite,Celts,"Encino,CA"
4248,Detroit Catholic Central,Shamrocks,"Novi,MI"
700,Saint Louis,Crusaders,"Honolulu,HI"
491,Westlake,Warriors,"Westlake Village,CA"
2135,Torrey Pines,Falcons,"San Diego,CA"
7336,Saugus,Centurions,"Saugus,CA"
10432,Lemont,Indians,"Lemont,IL"
7726,St. John Vianney,Griffins,"Kirkwood,MO"
5855,Loomis Chaffee School,Pelicans,"Windsor,CT"
1075,Warren,Bears,"Downey,CA"
7292,Salpointe Catholic,Lancers,"Tucson,AZ"
48,Foothill,Knights,"Santa Ana,CA"
2441,East Lake,Eagles,"Tarpon Springs,FL"
1002,Marist,Red Hawks,"Chicago,IL"
171,DeMatha Catholic,Stags,"Hyattsville,MD"
357,Coppell,Cowboys,"Coppell,TX"
1275,Lake Mary,Rams,"Lake Mary,FL"
1899,Puyallup,Vikings,"Puyallup,WA"
7187,Rocklin,Thunder,"Rocklin,CA"
5129,Heritage,Eagles,"Littleton,CO"
6544,North Gwinnett,Bulldogs,"Suwanee,GA"
3173,Badin,Rams,"Hamilton,OH"
6184,Mid-Pacific Institute,Owls,"Honolulu,HI"
1868,Desert Vista,Thunder,"Phoenix,AZ"
5772,Libertyville,Wildcats,"Libertyville,IL"
6561,North Penn,Knights,"Lansdale,PA"
9504,Archbishop Spalding,Cavaliers,"Severn,MD"
9649,Vista Murrieta,Broncos,"Murrieta,CA"
7861,Strake Jesuit,Crusaders,"Houston,TX"
11604,Cosby,Titans,"Midlothian,VA"
513,Bentonville,Tigers,"Bentonville,AR"
10152,Oswego East,wolves,"Oswego,IL"
335,Berkeley,Yellowjackets,"Berkeley,CA"
1679,Riverside Poly,Bears,"Riverside,CA"
973,Poway,Titans,"Poway,CA"
167,Torrance,Tartars,"Torrance,CA"
1590,El Dorado,Golden Hawks,"Placentia,CA"
79,Marina,Vikings,"Huntington Beach,CA"
572,Fountain Valley,Barons,"Fountain Valley,CA"
1983,Yucaipa,Thunderbirds,"Yucaipa,CA"
1867,Barbe,Buccaneers,"Lake Charles,LA"
4814,Georgetown,Eagles,"Georgetown,TX"
523,Land O'Lakes,Gators,"Land O'Lakes,FL"
6648,Oak Park-River Forest,Huskies,"Oak Park,IL"
1910,Rockhurst,Hawklets,"Kansas City,MO"
422,Barrington,Broncos,"Barrington,IL"
1686,Royal,Highlanders,"Simi Valley,CA"
383,Central Catholic,Vikings,"Pittsburgh,PA"
386,Harrison,Hoyas,"Kennesaw,GA"
13542,Cypress Ranch,Mustangs,"Cypress,TX"
1378,Rockwall-Heath,Hawks,"Rockwall,TX"
10148,Sunrise Mountain,Mustangs,"Peoria,AZ"
159,Aliso Niguel,Wolverines,"Aliso Viejo,CA"
6695,Olympia,Titans,"Orlando,FL"
10872,Buford,Wolves,"Buford,GA"
9490,Chino Hills,Huskies,"Chino Hills,CA"
3506,Brownsburg,Bulldogs,"Brownsburg,IN"
1785,Brandon,Bulldogs,"Brandon,MS"
2186,Calvert Hall,Cardinals,"Baltimore,MD"
2936,Walsh Jesuit,Warriors,"Cuyahoga Falls,OH"
471,Minnetonka,Skippers,"Minnetonka,MN"
2593,Millard North,Mustangs,"Omaha,NE"
923,Northwest Rankin,Cougars,"Brandon,MS"
4543,Etowah,Eagles,"Woodstock,GA"
1420,Shawnee,Renegades,"Medford,NJ"
8986,Oaks Christian,Lions,"Westlake Village,CA"
1462,The Hun School,Raiders,"Princeton,NJ"
5917,Madison Central,Jaguars,"Madison,MS"
7706,St. Francis Prep,Terriers,"Flushing,NY"
2934,St. Joseph,Falcons,"Metuchen,NJ"
12471,Cypress Woods,Wildcats,"Cypress,TX"
10525,Woodcreek,Timberwolves,"Roseville,CA"
4087,Cranford,Cougars,"Cranford,NJ"
4586,Farmingdale,Dalers,"Farmingdale,NY"
8988,Avon Grove,Red Devils,"West Grove,PA"
1731,Lassiter,Trojans,"Marietta,GA"
1884,Xaverian Brothers,Hawks,"Westwood,MA"
6687,Olentangy Orange,Braves,"Lewis Center,OH"
13092,Plainfield North,Tigers,"Plainfield,IL"
6986,Prior Lake,Lakers,"Prior Lake,MN"
15135,Windermere Prep,Lakers,"Windermere,FL"
11275,Fairfield Warde,Mustangs,"Fairfield,CT"
4310,Downingtown West,Whippets,"Downingtown,PA"
1364,Cabot,Panthers,"Cabot,AR"
14813,Valor Christian,Eagles,"Highlands Ranch,CO"
2672,Carlsbad,Lancers,"Carlsbad,CA"
6453,New Trier,Trevians,"Winnetka,IL"
1766,Ocean View,Seahawks,"Huntington Beach,CA"
761,Mountain Pointe,Pride,"Phoenix,AZ"
88,Tomball,Cougars,"Tomball, TX"
2224,Charlotte Christian,Knights,"Charlotte,NC"
85,Brookwood,Broncos,"Snellville,GA"
1068,Villa Park,Spartans,"Orange,CA"
2671,Trabuco Hills,Mustangs,"Mission Viejo,CA"
2797,Cardinal Newman,Cardinals,"Santa Rosa,CA"
8532,Willowbrook,Warriors,"Villa Park,IL"
4398,East Coweta,Indians,"Sharpsburg,GA"
4205,Delbarton School,Green Wave,"Morristown,NJ"
5617,Lake Forest,Scouts,"Lake Forest,IL"
10006,Blue Valley,Tigers,"Stilwell,KS"
162,Wake Forest,Cougars,"Wake Forest,NC"
1216,Westfield,Shamrocks,"Westfield,IN"
13645,Miller School of Albemarle,Mavericks,"Charlottesville,VA"
12432,North Oconee,Titans,"Bogart,GA"
7844,State College Area,Little Lions,"State College,PA"
7691,St. Dominic,Bayhawks,"Oyster Bay,NY"
7763,St. Joseph by the Sea,Vikings,"Staten Island,NY"
6804,Paul VI,Eagles,"Haddonfield,NJ"
9478,Fort Zumwalt West,Jaguars,"O'Fallon,MO"
4200,Del Oro,Golden Eagles,"Loomis,CA"
9590,Archbishop Wood,Vikings,"Warminster,PA"
5558,Kingsway Regional,Dragons,"Swedesboro,NJ"
1297,Hoover,Buccaneers,"Hoover,AL"
5493,Kennedy Catholic,Gaels,"Somers,NY"
1072,Oswego Community,Panthers,"Oswego,IL"
6638,Oak Creek,Knights,"Milwaukee,WI"
16231,Obra D. Tompkins,Falcons,"Katy,TX"
12755,Dakota,Cougars,"Macomb,MI"
16481,Murrieta Mesa,Rams,"Murrieta,CA"
24,Monsignor Edward Pace,Spartans,"Miami,FL"
1067,Granite Hills,Eagles,"El Cajon,CA"
1346,Helix Charter,Highlanders,"La Mesa,CA"
59,St. Mary's,Rams,"Stockton,CA"
464,Mosley,Dolphins,"Panama City,FL"
4646,Fordham Prep,Rams,"Bronx,NY"
2051,Palm Desert,Aztecs,"Palm Desert,CA"
2705,Mount Lebanon,Blue Devils,"Pittsburgh,PA"
1948,The Bolles School,Bulldogs,"Jacksonville,FL"
8916,Zionsville,Eagles,"Zionsville,IN"
1692,Redlands East Valley,Wildcats,"Redlands,CA"
1596,Chaparral,Pumas,"Temecula,CA"
9915,Folsom,Bulldogs,"Folsom,CA"
8795,Grayson,Rams,"Loganville,GA"
9511,Cienega,Bobcats,"Vail,AZ"
5673,LaSalle College,Explorers,"Wyndmoor,PA"
2709,Hamilton Southeastern,Royals,"Fishers,IN"
14810,Arnold O. Beckman,Patriots,"Irvine,CA"
1569,Joliet West,Tigers,"Joliet,IL"
3005,Allen,Bald Eagles,"Allen,TX"
353,Salesianum,Sallies,"Wilmington,DE"
11483,Rockwall,Yellowjackets,"Rockwall,TX"
28,Auburn,Tigers,"Auburn,AL"
6379,Mundelein,Mustangs,"Mundelein,IL"
2435,Homestead,Spartans,"Fort Wayne,IN"
7265,Sachem East,Flaming Arrows,"Farmingville,NY"
3731,Centerville,Elks,"Centerville,OH"
1290,Lenape,Indians,"Medford,NJ"
684,Cherry Hill West,Lions,"Cherry Hill,NJ"
8721,Dutchtown,Griffins,"Geismar,LA"
2942,Ketcham,Indians,"Wappingers Falls,NY"
3309,Bethlehem Liberty,Hurricanes,"Bethlehem,PA"
15118,Desert Oasis,Diamondbacks,"Las Vegas,NV"
14828,North Paulding,Wolfpack,"Dallas,GA"
4747,Freedom,Eagles,"South Riding,VA"
14784,Clear Falls,Knights,"League City,TX"
2924,Marian Catholic,Spartans,"Chicago Heights,IL"
3871,Cherokee,Chiefs,"Marlton,NJ"
4856,Glenbrook South,Titans,"Glenview,IL"
10111,Warren Township,Blue Devils,"Gurnee,IL"
9965,North Forsyth,Vikings,"Cumming,GA"
2744,Mount Vernon,Marauders,"Fortville,IN"
9519,Houston County,Bears,"Warner Robins,GA"
10098,Canterbury School,Saints,"New Milford,CT"
15486,Liberty North,Eagles,"Liberty,MO"
13227,St. MIchael-Albertville,Knights,"St. Michael,MN"
14232,Citrus Valley,Blackhawks,"Redlands,CA"
16809,Lake Creek,Lions,"Montgomery,TX"
83,Lakewood,Lancers,"Lakewood,CA"
1198,Henry B. Plant,Panthers,"Tampa,FL"
221,Grossmont,Foothillers,"El Cajon,CA"
7271,Sacred Heart Cathedral,Fighting Irish,"San Francisco,CA"
5998,Marist School,Eagles,"Atlanta,GA"
1001,Kingwood,Mustangs,"Kingwood,TX"
9526,Palm Beach Central,Broncos,"Wellington,FL"
1718,Westlake,Chaparrals,"Austin,TX"
1381,Jupiter Community,Warriors,"Jupiter,FL"
1946,Palmetto,Panthers,"Miami,FL"
8178,Vestavia Hills,Rebels,"Birmingham,AL"
7278,St. Ignatius College Prep,Wildcats,"San Francisco,CA"
7290,Salisbury School,Crimson Knights,"Salisbury,CT"
1306,Redwood,Rangers,"Visalia,CA"
4663,Forney,Jackrabbits,"Forney,TX"
1889,Gaither,Cowboys,"Tampa,FL"
1231,Mansfield,Tigers,"Mansfield,TX"
154,Benedictine College Prep,Cadets,"Richmond,VA"
12618,Seven Lakes,Spartans,"Katy,TX"
6921,Pleasant Valley,Vikings,"Chico,CA"
15,Pine-Richland,Rams,"Gibsonia,PA"
6318,Mounds View,Mustangs,"Arden Hills,MN"
34,Belen Jesuit Prep,Wolverines,"Miami,FL"
1445,La Mirada,Matadores,"La Mirada,CA"
5756,Lexington Catholic,Knights,"Lexington,KY"
1417,Baylor School,Red Raiders,"Chattanooga,TN"
837,Connetquot,T-Birds,"Bohemia,NY"
3091,Archbishop Stepinac,Crusaders,"White Plains,NY"
7884,Summerville,Greenwave,"Summerville,SC"
5537,Kimberly,Papermakers,"Kimberly,WI"
1927,Stillwater Area,Ponies,"Stillwater,MN"
14869,Magnolia West,Mustangs,"Magnolia,TX"
3370,Bloomingdale,Bulls,"Valrico,FL"
1237,California,Grizzlies,"San Ramon,CA"
4464,Edmond North,Huskies,"Edmond,OK"
6043,William Mason,Comets,"Mason,OH"
8917,Tesoro,Titans,"Rancho Santa Margarita,CA"
11283,Cary-Grove,Trojans,"Cary,IL"
1040,Westview,Wolverines,"San Diego,CA"
8915,Fishers,Tigers,"Fishers,IN"
5251,Howell,Rebels,"Farmingdale,NJ"
7403,Shaker,Blue Bison,"Latham,NY"
3095,Argyle,Eagles,"Argyle,TX"
3780,Central Bucks West,Bucks,"Doylestown,PA"
14395,Norris,Titans,"Firth,NE"
9174,Mount Spokane,Wildcats,"Mead,WA"
10619,Poly Prep,Blue Devils,"Brooklyn,NY"
10546,Pope John XXIII,Lions,"Sparta,NJ"
4875,Gonzaga College,Eagles,"Washington,DC"
6265,Monsignor Bonner,Friars,"Drexel Hill,PA"
12549,Mill Creek,Hawks,"Hoschton,GA"
12509,Cherokee Trail,Cougars,"Aurora,CO"
10857,Plainfield South,Cougars,"Plainfield,IL"
9045,Central Bucks South,Titans,"Warrington,PA"
12824,Papillon La Vista South,Titans,"Papillon,NE"
624,Avon,Orioles,"Avon,IN"
15005,Mattawan,Wildcats,"Mattawan,MI"
5869,Lovejoy,Leopards,"Lucas,TX"
9281,Har-Ber,Wildcats,"Springdale,AR"
15541,Austin Prep,Cougars,"Reading,MA"
38,Sarasota,Sailors,"Sarasota,FL"
1591,Patrick Henry,Patriots,"San Diego,CA"
125,Lamar,Redskins,"Houston,TX"
227,St. Xavier,Tigers,"Louisville,KY"
1465,Bishop Kelley,Comets,"Tulsa,OK"
1843,Klein,Bearcats,"Klein,TX"
2331,Sulphur,Golden Tors,"Sulphur,LA"
2076,Corona,Panthers,"Corona,CA"
1624,Monte Vista,Mustangs,"Danville,CA"
2818,Cypress Fairbanks,Bobcats,"Cypress,TX"
966,Clayton Valley,Eagles,"Concord,CA"
123,Gilbert,Tigers,"Gilbert,AZ"
1932,Blue Springs,Wildcats,"Blue Springs,MO"
1390,Saline,Hornets,"Saline,MI"
7725,St. John the Baptist,Cougars,"West Islip,NY"
2819,Houston Memorial,Mustangs,"Houston,TX"
1330,Galena,Grizzlies,"Reno,NV"
1655,Kamiakin,Braves,"Kennewick,WA"
816,Mills Godwin,Eagles,"Richmond,VA"
8801,Klein Collins,Tigers,"Spring,TX"
687,Grandview,Wolves,"Aurora,CO"
13990,Lambert,Longhorns,"Suwanee,GA"
10560,Penn,Kingsmen,"Mishawaka,IN"
2992,Aledo,Bearcats,"Aledo,TX"
9665,Bob Jones,Patriots,"Madison,AL"
9675,Providence School,Stallions,"Jacksonville,FL"
5281,Hurricane,Redskins,"Hurricane,WV"
2119,Waiakea,Warriors,"Hilo,HI"
8421,West Seattle,Wildcats,"Seattle,WA"
2481,Jesuit,Crusaders,"Portland,OR"
91,Cheshire,Rams,"Cheshire,CT"
1937,Archbishop Curley,Friars,"Baltimore,MD"
721,Notre Dame,Irish,"Lawrenceville,NJ"
3182,H.P. Baldwin,Bears,"Wailuki,HI"
1949,Bayonne,Bees,"Bayonne,NJ"
5111,Hempfield,Black Knights,"Landisville,PA"
3912,Cicero-North Syracuse,Northstars,"Cicero,NY"
2217,Rio Americano,Raiders,"Sacramento,CA"
3214,Batavia,Bulldogs,"Batavia,IL"
7825,St. Pius X,Golden Lions,"Atlanta,GA"
7836,St. Thomas Aquinas,Saints,"Overland Park,KS"
2138,Reitz Memorial,Panthers,"Evansville,IN"
3356,Bixby,Spartans,"Bixby,OK"
2716,Carlmont,Scots,"Belmont,CA"
8800,Clearview Regional,Pioneers,"Mullica Hill,NJ"
4830,Gilman School,Greyhounds,"Baltimore,MD"
8766,Spanish Springs,Cougars,"Sparks,NV"
9020,Desert Ridge,Jaguars,"Mesa,AZ"
2452,Medina,Battling Bees,"Medina,OH"
1081,Nogales,Apaches,"Nogales,AZ"
10409,Birdville,Hawks,"Richland Hills,TX"
12300,South Elgin,Storm,"Elgin,IL"
10039,St. Clair,Saints,"St. Clair,MI"
3047,Anchor Bay,Tars,"Fair Haven,MI"
2371,Parkland,Trojans,"Allentown,PA"
5610,Lake Central,Indians,"St. John,IN"
2589,Central Dauphin,Rams,"Harrisburg,PA"
6502,Normal Community,Ironmen,"Normal,IL"
364,Arlington,Admirals,"LaGrangeville,NY"
8859,Hillgrove,Hawks,"Powder Springs,GA"
7442,Sickles,Gryphons,"Tampa,FL"
619,Centennial,Bulldogs,"Las Vegas,NV"
2321,Plainfield Central,Wildcats,"Plainfield,IL"
9196,Olentangy Liberty,Patriots,"Powell,OH"
3779,Central Bucks East,Patriots,"Doylestown,PA"
9576,Blue Springs South,Jaguars,"Blue Springs,MO"
5339,Jacobs,Golden Eagles,"Algonquin,IL"
2133,Tumwater,Thunderbirds,"Tumwater,WA"
3103,Arrowhead Union,Warhawks,"Hartland,WI"
6347,Mount Si,Wildcats,"Snoqualmie,WA"
5697,Lawrence North,Wildcats,"Indianapolis,IN"
6264,Monroe Woodbury,Crusaders,"Central Valley,NY"
2487,River Ridge,Kinghts,"Woodstock,GA"
183,Liberty,Patriots,"Henderson,NV"
1120,Germantown,Warhawks,"Germantown,WI"
872,New Albany,Eagles,"New Albany,OH"
14301,Bay Port,Pirates,"Green Bay,WI"
4418,East Ridge,Raptors,"Woodbury,MN"
16069,River Bluff,War Eagles,"Lexington,SC"
